file_name,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_score,class_name
image_1735391095149_android.graphics.Bitmap@a0f74d3.jpeg,208.49335,298.73236,0.43737805,208.37407,291.6203,0.54439175,206.74042,293.46774,0.5058909,218.96251,279.64532,0.6115012,215.62598,284.44238,0.44196865,239.38333,292.50415,0.62246656,236.0345,297.27075,0.52340126,243.15556,325.59,0.5135805,241.50201,328.8117,0.26172787,210.65894,303.6613,0.7715322,222.28043,375.21518,0.16521113,232.52548,381.27972,0.58195245,234.55891,380.88068,0.6069113,211.7639,445.25635,0.59758973,236.67151,431.74405,0.43215266,206.98866,530.1797,0.70933783,247.0195,486.74957,0.79829276,1.0,squat_up
image_1735391095347_android.graphics.Bitmap@8c3b50e.jpeg,217.22716,292.23376,0.48260525,217.69278,284.3908,0.6875092,213.25316,288.18912,0.62580645,229.99136,278.36768,0.5839343,222.27773,286.26657,0.26416332,243.97958,296.14267,0.64802396,245.44098,297.6483,0.36253497,254.03874,318.0871,0.42963058,251.84102,328.01047,0.23435523,236.39175,294.47586,0.2975528,224.24022,363.543,0.30474016,235.41612,378.39136,0.3913979,244.11942,378.84314,0.48382062,213.41905,432.4441,0.5567744,242.01361,428.44025,0.48275372,220.69731,508.29553,0.6032697,247.30049,487.4917,0.5802941,0.9867496,squat_up
image_1735391095578_android.graphics.Bitmap@a2f72c5.jpeg,226.3119,286.5976,0.6550183,228.98114,279.46225,0.57497495,222.80515,283.57248,0.7820749,239.48479,277.0412,0.58971465,226.45692,284.6661,0.65054655,245.92058,292.90546,0.6975828,240.34863,299.30612,0.5517129,259.96588,308.5589,0.55122215,256.4945,314.70935,0.33568,246.13385,278.54413,0.5082809,226.97585,354.88525,0.22333875,243.06805,375.18085,0.5220928,244.03548,376.21558,0.6135631,217.39508,430.33276,0.821475,243.77095,429.2944,0.5244591,233.62259,495.0023,0.6366888,248.4417,489.18466,0.67693424,1.0,squat_up
image_1735391095792_android.graphics.Bitmap@d09f928.jpeg,225.34329,286.23325,0.6793809,228.12772,278.9437,0.59857875,221.91795,282.60553,0.48257914,240.12701,276.10876,0.65976226,225.55428,283.32272,0.5770832,249.58865,294.0241,0.4891018,235.38547,302.41028,0.61919093,256.18958,310.5963,0.59012127,245.36002,316.3924,0.24323046,248.11177,277.9113,0.61021656,228.97807,314.58405,0.15233633,243.79956,375.9449,0.77609676,236.56442,376.30377,0.57650363,222.76093,436.27502,0.8103504,238.09142,432.52386,0.48926595,237.0732,501.56564,0.71913147,247.87344,482.5574,0.37304032,1.0,squat_up
image_1735391096002_android.graphics.Bitmap@a92b127.jpeg,224.40768,286.42603,0.70301986,227.10156,279.6407,0.75513893,221.13118,282.65094,0.5390283,238.35791,277.58792,0.58051026,225.35852,283.1874,0.4931385,247.01112,295.4127,0.46786445,235.30992,300.8291,0.5613631,254.96628,310.06366,0.5068338,248.68248,313.1525,0.31206512,245.32681,278.381,0.64003503,228.32117,313.4739,0.12385918,240.97096,373.55914,0.69753695,236.326,373.45483,0.7333253,219.52177,432.3546,0.69615185,226.1214,426.95474,0.70494246,236.93767,503.35037,0.7004243,239.03595,476.70016,0.42697194,1.0,squat_up
image_1735391096206_android.graphics.Bitmap@adf0c72.jpeg,225.87457,289.28394,0.7191453,228.32881,281.89206,0.6149822,222.94481,284.90076,0.41910392,238.76868,279.23462,0.6763265,227.27094,285.5535,0.5700184,246.80641,295.47284,0.5806384,236.29979,299.85144,0.3166746,256.44214,310.6678,0.64657724,251.29604,312.2982,0.41235667,244.88821,278.13858,0.55383885,243.81627,278.61023,0.18869494,240.77817,373.48584,0.79204184,235.6969,372.89124,0.697338,222.93758,432.62466,0.5683697,225.17517,426.81067,0.5141133,235.77301,501.164,0.6425153,235.22182,474.892,0.54344666,1.0,squat_up
image_1735391096433_android.graphics.Bitmap@785ac79.jpeg,224.31131,296.76895,0.5054008,226.47424,289.3773,0.827351,221.6686,292.2218,0.66237,237.94177,285.42352,0.64388806,227.24622,290.69086,0.61634445,245.66576,301.7266,0.6544949,236.459,307.08777,0.4360092,256.2008,316.33026,0.46308243,251.52655,318.2442,0.38616517,243.90569,288.40652,0.56592494,243.17026,285.53036,0.22837827,242.2871,374.71262,0.7466576,236.80272,373.54218,0.5514921,226.93878,430.35074,0.60885507,227.30032,424.05457,0.39570957,235.92485,498.82162,0.68070585,235.4805,471.3661,0.57640386,1.0,squat_up
image_1735391096670_android.graphics.Bitmap@a44f56c.jpeg,224.12024,299.83463,0.59695923,225.75223,293.09338,0.5157401,220.06227,296.41632,0.6395044,236.95178,288.04852,0.7720574,223.77783,295.92633,0.59708583,245.3516,305.88754,0.4925849,235.19989,310.8598,0.52030873,257.22632,319.1351,0.47659874,247.40788,322.68402,0.31848866,243.87245,289.133,0.35212663,233.45715,309.26968,0.114119194,244.72563,373.53967,0.7051202,239.77374,372.80362,0.663167,225.64458,427.99057,0.53481877,229.4639,422.38623,0.5011965,238.31255,496.47894,0.65694267,237.32628,470.95834,0.5585892,1.0,squat_up
image_1735391096880_android.graphics.Bitmap@3bcfd3b.jpeg,219.92195,301.65085,0.6754595,221.06918,294.2568,0.68736947,216.33778,297.66937,0.78825486,231.98306,287.78308,0.7000211,221.44345,295.01266,0.5879041,244.57465,303.73053,0.4101366,233.73947,310.12164,0.5130609,258.0055,316.32724,0.72444785,244.5937,321.03333,0.26354718,242.10326,290.91617,0.45058212,229.71867,314.42682,0.13356717,246.66861,375.4547,0.7842036,239.08401,374.51288,0.7368363,228.56322,430.0301,0.6386509,227.00446,425.49622,0.62266946,238.11179,495.6991,0.7617725,236.24734,473.3237,0.56067,1.0,squat_up
image_1735391097101_android.graphics.Bitmap@b698696.jpeg,219.34244,303.39273,0.63369274,220.05954,296.40182,0.56100917,214.5149,300.20337,0.6271243,229.74695,290.4277,0.7289773,217.47981,299.22937,0.59337837,242.96169,307.21405,0.45550224,229.3161,313.50058,0.6086503,258.29034,318.3946,0.82691145,237.62329,324.48694,0.21109562,238.39688,292.14752,0.53571755,231.01485,299.21475,0.2766576,244.21272,374.35913,0.78184366,236.82663,373.55518,0.74057776,225.21541,430.4773,0.68201154,225.39937,424.77252,0.61167717,237.03079,495.46112,0.7187276,232.44379,472.97787,0.4297341,1.0,squat_up
