file_name,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_no,class_name
deadlift_down\04de63e1-dd84-4c55-9b71-5d2b2376ecfe.jpg,547.0,530.0,0.7824487,529.0,500.0,0.53877604,531.0,501.0,0.54182744,571.0,437.0,0.7763109,575.0,434.0,0.8251105,699.0,530.0,0.67456657,722.0,485.0,0.8563661,672.0,819.0,0.66205955,719.0,756.0,0.34360397,619.0,1012.0,0.8151222,655.0,921.0,0.107184246,991.0,816.0,0.6460475,990.0,783.0,0.84171677,665.0,959.0,0.41941318,697.0,893.0,0.39195833,775.0,1200.0,0.88006896,790.0,1077.0,0.32381675,0,deadlift_down
deadlift_down\09efe15b-99fe-41bc-ac5e-0a466b6fffcf.jpg,286.0,787.0,0.61863554,267.0,758.0,0.58448637,260.0,769.0,0.54752076,282.0,669.0,0.59443164,274.0,691.0,0.47216785,440.0,684.0,0.7375172,431.0,691.0,0.45088935,474.0,940.0,0.5636762,472.0,933.0,0.58532834,477.0,1165.0,0.6521658,476.0,1150.0,0.41083023,783.0,931.0,0.61907566,785.0,934.0,0.5506557,432.0,1039.0,0.57109207,418.0,1030.0,0.6306176,609.0,1335.0,0.6958098,609.0,1321.0,0.3865658,0,deadlift_down
deadlift_down\0c798328-10ce-4dea-9ae8-bf6ed72d0663.jpg,611.0,668.0,0.63409585,591.0,640.0,0.6842222,599.0,638.0,0.40916124,615.0,589.0,0.6729343,650.0,574.0,0.15143238,666.0,681.0,0.73599255,805.0,613.0,0.758558,630.0,945.0,0.76143545,828.0,861.0,0.22407976,593.0,1119.0,0.7365513,679.0,982.0,0.08197751,947.0,985.0,0.5959882,1067.0,960.0,0.6481297,653.0,1003.0,0.37866735,807.0,968.0,0.23965827,736.0,1277.0,0.6625941,871.0,1164.0,0.58039284,0,deadlift_down
deadlift_down\1615c360-b48e-448d-8aec-fccef04282a1.jpg,340.0,765.0,0.63869745,317.0,741.0,0.6527436,313.0,745.0,0.4915074,328.0,666.0,0.83562094,326.0,671.0,0.7089766,452.0,673.0,0.70146096,477.0,664.0,0.6079044,467.0,906.0,0.69433737,491.0,901.0,0.5840771,452.0,1125.0,0.64644396,472.0,1093.0,0.469767,810.0,904.0,0.7844112,831.0,892.0,0.81681335,488.0,945.0,0.5401033,543.0,1002.0,0.4140276,604.0,1294.0,0.8140534,643.0,1239.0,0.4790401,0,deadlift_down
deadlift_down\16d596ec-e499-4e21-9ae5-308d07563c4a.jpg,573.0,728.0,0.8425087,561.0,697.0,0.69140506,556.0,698.0,0.5148526,620.0,636.0,0.8118964,606.0,637.0,0.60058594,787.0,699.0,0.82857645,741.0,650.0,0.54641426,830.0,1005.0,0.88348854,787.0,920.0,0.3751964,843.0,1229.0,0.8882067,781.0,1086.0,0.17410403,1123.0,894.0,0.85895634,1078.0,853.0,0.69955564,790.0,1014.0,0.32416594,715.0,925.0,0.7286216,905.0,1264.0,0.42887622,842.0,1192.0,0.3271282,0,deadlift_down
deadlift_down\17a9b85c-27a0-4540-a5f2-16b80ce15e28.jpg,483.0,702.0,0.73916173,466.0,672.0,0.6779301,458.0,680.0,0.69686776,479.0,579.0,0.6177464,470.0,596.0,0.7782116,646.0,565.0,0.677443,575.0,634.0,0.5563847,691.0,841.0,0.6596153,621.0,856.0,0.55463773,681.0,1083.0,0.6115265,616.0,1063.0,0.3473838,994.0,819.0,0.6876087,964.0,846.0,0.65808904,623.0,929.0,0.61638165,580.0,959.0,0.65243936,821.0,1234.0,0.6685956,812.0,1207.0,0.520159,0,deadlift_down
deadlift_down\20241218_203822_001.jpg,2361.0,1667.0,0.2858416,2338.0,1621.0,0.39491215,2323.0,1673.0,0.31878924,2325.0,1473.0,0.2101735,2286.0,1614.0,0.26248842,2442.0,1202.0,0.38771385,2298.0,1423.0,0.14234431,2838.0,1108.0,0.3641052,2524.0,1521.0,0.095635675,3166.0,1000.0,0.25816974,2665.0,1468.0,0.1487752,2657.0,703.0,0.34158674,2613.0,728.0,0.45312694,2841.0,1139.0,0.34289327,2834.0,1227.0,0.1626367,3167.0,1010.0,0.22062613,3200.0,881.0,0.21614167,0,deadlift_down
deadlift_down\20241218_203822_003.jpg,2315.0,1638.0,0.3046995,2288.0,1607.0,0.4379506,2284.0,1654.0,0.36097255,2250.0,1430.0,0.26534614,2266.0,1583.0,0.30857927,2390.0,1203.0,0.23057964,2296.0,1359.0,0.2153483,2788.0,1088.0,0.40669793,2620.0,1445.0,0.16572067,3132.0,975.0,0.33269867,2618.0,1448.0,0.20059583,2621.0,678.0,0.4157357,2588.0,715.0,0.4066148,2792.0,1103.0,0.48395452,2806.0,1178.0,0.20245235,3113.0,987.0,0.20682478,3156.0,863.0,0.18709539,0,deadlift_down
deadlift_down\20241218_203822_004.jpg,2326.0,1633.0,0.30279535,2299.0,1592.0,0.46922478,2286.0,1638.0,0.33494443,2274.0,1430.0,0.28814238,2236.0,1590.0,0.30698854,2409.0,1224.0,0.3563795,2275.0,1402.0,0.20434165,2775.0,1095.0,0.39120612,2606.0,1443.0,0.20835614,2989.0,1194.0,0.103270374,2588.0,1486.0,0.12857966,2601.0,678.0,0.4150098,2592.0,692.0,0.46024498,2784.0,1100.0,0.47814658,2800.0,1180.0,0.107927784,3106.0,970.0,0.3286833,3109.0,970.0,0.19349627,0,deadlift_down
deadlift_down\20241218_203822_005.jpg,2309.0,1639.0,0.34461787,2285.0,1598.0,0.4299923,2274.0,1644.0,0.37070665,2274.0,1431.0,0.26280147,2240.0,1592.0,0.28264531,2411.0,1226.0,0.38441068,2316.0,1417.0,0.13590375,2776.0,1096.0,0.3585338,2595.0,1448.0,0.14983103,3104.0,973.0,0.29843986,2624.0,1451.0,0.19733201,2589.0,686.0,0.50336957,2613.0,697.0,0.46466827,2787.0,1111.0,0.4669278,2808.0,1232.0,0.13454244,3097.0,988.0,0.24017875,3103.0,979.0,0.14383118,0,deadlift_down
deadlift_down\20241218_203822_006.jpg,2278.0,1635.0,0.24412797,2261.0,1606.0,0.36057627,2250.0,1643.0,0.2994773,2268.0,1467.0,0.26349214,2252.0,1561.0,0.3021421,2425.0,1242.0,0.22641134,2228.0,1326.0,0.18934348,2768.0,1096.0,0.37306553,2771.0,1098.0,0.41741347,2972.0,1184.0,0.12781993,2582.0,1463.0,0.3056661,2593.0,686.0,0.36965993,2551.0,714.0,0.4470845,2773.0,1106.0,0.54744256,2769.0,1147.0,0.21305,3139.0,861.0,0.282714,3141.0,828.0,0.21772246,0,deadlift_down
deadlift_down\20241218_203822_007.jpg,2302.0,1635.0,0.27661362,2269.0,1606.0,0.32890445,2267.0,1652.0,0.30247757,2215.0,1417.0,0.33183202,2238.0,1594.0,0.28776646,2349.0,1189.0,0.2878846,2308.0,1395.0,0.19525632,2737.0,1086.0,0.38622898,2575.0,1462.0,0.14480318,3091.0,977.0,0.33438468,2565.0,1469.0,0.354611,2572.0,680.0,0.42233598,2600.0,689.0,0.4919756,2759.0,1184.0,0.314843,2736.0,1283.0,0.34395406,3083.0,988.0,0.26672673,3086.0,985.0,0.2032796,0,deadlift_down
deadlift_down\20241218_203822_008.jpg,2281.0,1622.0,0.33242005,2253.0,1591.0,0.41528675,2247.0,1626.0,0.37012,2237.0,1429.0,0.20480561,2234.0,1540.0,0.30601594,2379.0,1216.0,0.33659464,2296.0,1285.0,0.22270764,2760.0,1094.0,0.3775075,2608.0,1388.0,0.1115269,2933.0,1214.0,0.098508656,2616.0,1426.0,0.23780942,2622.0,706.0,0.42166153,2580.0,728.0,0.48933977,2773.0,1116.0,0.5028252,2777.0,1183.0,0.1880801,3079.0,998.0,0.2542728,3127.0,845.0,0.25670385,0,deadlift_down
deadlift_down\20241218_203822_009.jpg,2298.0,1658.0,0.23334752,2262.0,1624.0,0.46649203,2253.0,1659.0,0.32343888,2252.0,1454.0,0.25625566,2211.0,1586.0,0.3193229,2397.0,1202.0,0.3534551,2279.0,1379.0,0.25335112,2770.0,1098.0,0.35020584,2591.0,1442.0,0.16259031,2961.0,1206.0,0.073667474,2612.0,1444.0,0.21892098,2571.0,676.0,0.44443992,2581.0,689.0,0.49324837,2777.0,1110.0,0.46408093,2802.0,1249.0,0.11880323,3093.0,995.0,0.31513903,3106.0,995.0,0.21552506,0,deadlift_down
deadlift_down\20241218_203822_010.jpg,2316.0,1634.0,0.30536553,2283.0,1594.0,0.5233074,2281.0,1637.0,0.29940975,2220.0,1407.0,0.32927996,2233.0,1571.0,0.35407326,2350.0,1184.0,0.27644178,2283.0,1385.0,0.15575598,2759.0,1090.0,0.35121548,2535.0,1486.0,0.083730735,2847.0,1202.0,0.061440647,2588.0,1439.0,0.19000499,2581.0,677.0,0.4950332,2609.0,695.0,0.4521992,2775.0,1143.0,0.3138783,2775.0,1230.0,0.21494457,3090.0,1004.0,0.23102175,3089.0,1000.0,0.14849189,0,deadlift_down
