file_name,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_no,class_name
benchpress_down\012f249d-2fda-4131-8d37-bbfb76e0808d.jpg,1257.0,624.0,0.32686102,1320.0,679.0,0.21165328,1269.0,624.0,0.41526514,1321.0,723.0,0.29843846,1262.0,687.0,0.29697645,1283.0,752.0,0.33672234,1105.0,669.0,0.38548952,1358.0,847.0,0.7177607,904.0,643.0,0.11553387,1456.0,574.0,0.55218446,832.0,603.0,0.14469178,961.0,689.0,0.3133179,809.0,621.0,0.42777848,731.0,730.0,0.33571467,700.0,715.0,0.2604574,850.0,1251.0,0.4865023,139.0,975.0,0.41611382,0,benchpress_down
benchpress_down\0979daa5-fa18-4f68-9d2c-1db84d0d890d.jpg,1275.0,792.0,0.56764424,1293.0,836.0,0.52853155,1303.0,810.0,0.60040236,1232.0,1003.0,0.71327305,1257.0,955.0,0.49965736,992.0,1076.0,0.3901751,1119.0,893.0,0.47212958,785.0,1176.0,0.10516982,861.0,921.0,0.10977021,643.0,1207.0,0.19450614,595.0,1141.0,0.37080246,479.0,919.0,0.43705374,509.0,845.0,0.5593676,96.0,945.0,0.6867142,107.0,943.0,0.49763358,328.0,1332.0,0.58592635,340.0,1309.0,0.47519183,0,benchpress_down
benchpress_down\14235fda-8abf-4d37-b9b9-742d4056b3d1.jpg,1551.0,394.0,0.4965671,1583.0,443.0,0.5361458,1582.0,416.0,0.5605578,1560.0,544.0,0.7022455,1557.0,509.0,0.6050231,1445.0,569.0,0.57307327,1376.0,430.0,0.4696058,1268.0,677.0,0.68496084,1148.0,447.0,0.24891727,1367.0,301.0,0.5459392,1364.0,310.0,0.2937719,815.0,512.0,0.5983883,783.0,425.0,0.7216761,206.0,593.0,0.83549535,231.0,556.0,0.6866164,607.0,1139.0,0.8233744,579.0,1100.0,0.63650465,0,benchpress_down
benchpress_down\1e84d8c4-f493-480f-a0a2-7a1f110dc5f1.jpg,528.0,505.0,0.6005624,532.0,509.0,0.7373018,491.0,526.0,0.48985872,569.0,550.0,0.44372228,471.0,621.0,0.5222204,804.0,590.0,0.64943886,504.0,710.0,0.7796427,1002.0,706.0,0.39181697,461.0,967.0,0.7435434,1015.0,543.0,0.6618334,334.0,760.0,0.4502898,1068.0,783.0,0.68312716,889.0,891.0,0.65000594,1502.0,1060.0,0.51724327,941.0,1389.0,0.57459486,1255.0,1448.0,0.09761623,829.0,1503.0,0.49490252,0,benchpress_down
benchpress_down\2dd270e2-8381-4964-97d2-7576ca9b735b.jpg,1146.0,902.0,0.45454434,1143.0,960.0,0.4020684,1171.0,926.0,0.42726424,1088.0,1056.0,0.42552757,1144.0,990.0,0.40268582,909.0,1038.0,0.3868861,1019.0,836.0,0.21209104,839.0,1164.0,0.053043045,985.0,725.0,0.24611239,543.0,1254.0,0.34007335,1026.0,683.0,0.7055043,428.0,916.0,0.30873027,480.0,784.0,0.34379283,302.0,1042.0,0.20109469,356.0,886.0,0.11046154,340.0,1210.0,0.47282967,373.0,1176.0,0.11221097,0,benchpress_down
benchpress_down\55a38773-67fe-4673-a186-7fd2ef862222.jpg,1455.0,223.0,0.74927735,1492.0,259.0,0.6533334,1494.0,252.0,0.5437875,1468.0,406.0,0.8148683,1473.0,390.0,0.68987334,1250.0,495.0,0.6111988,1257.0,422.0,0.5833608,774.0,583.0,0.4852865,791.0,570.0,0.7107368,756.0,199.0,0.777184,810.0,199.0,0.18898372,616.0,502.0,0.7233323,614.0,485.0,0.7254751,228.0,621.0,0.76532483,239.0,622.0,0.8011345,501.0,987.0,0.7804386,500.0,977.0,0.768919,0,benchpress_down
benchpress_down\64795e87-a04a-400e-8ddb-d220dcacec8d.jpg,397.0,607.0,0.45316735,382.0,599.0,0.43903217,369.0,614.0,0.4649084,404.0,605.0,0.605597,343.0,644.0,0.4628812,646.0,577.0,0.63211185,333.0,707.0,0.71843314,850.0,598.0,0.21065205,294.0,954.0,0.79457617,861.0,580.0,0.5194807,169.0,655.0,0.90487796,964.0,649.0,0.6471708,759.0,746.0,0.6041935,1509.0,871.0,0.78618616,926.0,1026.0,0.78528726,1346.0,1216.0,0.12698834,789.0,1489.0,0.86875093,0,benchpress_down
benchpress_down\6713ec86-b20b-4b7e-bb78-337d2f37e2d3.jpg,1550.0,539.0,0.5285727,1583.0,566.0,0.55716276,1574.0,546.0,0.5509,1559.0,636.0,0.7125544,1547.0,603.0,0.5175917,1435.0,656.0,0.7184102,1350.0,541.0,0.4187318,1238.0,834.0,0.73290247,1117.0,578.0,0.2498562,1362.0,528.0,0.67704624,1328.0,493.0,0.3899979,825.0,627.0,0.7743914,780.0,516.0,0.6903137,304.0,794.0,0.84759027,294.0,752.0,0.5725064,666.0,1193.0,0.69805574,599.0,1128.0,0.27665874,0,benchpress_down
benchpress_down\77a78ea1-c973-4e5f-8e02-12d05211226a.jpg,458.0,907.0,0.24641412,448.0,933.0,0.43938038,446.0,930.0,0.4562744,469.0,1069.0,0.31448904,480.0,1095.0,0.5470041,544.0,1046.0,0.30185264,670.0,1175.0,0.21095285,770.0,899.0,0.10028781,866.0,1226.0,0.2708636,792.0,840.0,0.16381755,1091.0,975.0,0.29978892,1054.0,984.0,0.39262047,1126.0,1079.0,0.35648367,1073.0,1244.0,0.2895593,1538.0,1113.0,0.523258,187.0,903.0,0.38866442,1291.0,1471.0,0.58680844,0,benchpress_down
benchpress_down\7a32bb46-dcfb-4842-a23d-7abc4f9cda03.jpg,515.0,869.0,0.38619602,535.0,905.0,0.34038833,529.0,886.0,0.3865132,524.0,1039.0,0.5287788,511.0,1005.0,0.39712688,419.0,1146.0,0.2465915,563.0,1068.0,0.068379685,680.0,1074.0,0.1160392,622.0,1061.0,0.07961666,883.0,1105.0,0.06322063,714.0,1102.0,0.093514815,331.0,339.0,0.4129472,375.0,338.0,0.44968733,1404.0,909.0,0.24740635,1107.0,973.0,0.06690087,1178.0,1175.0,0.26046997,122.0,517.0,0.33370325,0,benchpress_down
benchpress_down\8d54537b-6d8f-4ba8-b244-bbef62a8447e.jpg,1197.0,893.0,0.31837124,1224.0,915.0,0.36767155,1199.0,881.0,0.3733427,1223.0,1006.0,0.30066928,1186.0,933.0,0.2970485,1180.0,1027.0,0.32311904,1039.0,899.0,0.23063266,1256.0,1157.0,0.6016079,932.0,750.0,0.30305833,1367.0,910.0,0.61060274,881.0,799.0,0.14722992,806.0,996.0,0.3772214,723.0,892.0,0.39796752,678.0,1235.0,0.51661384,230.0,1063.0,0.3659054,787.0,1623.0,0.6621746,89.0,1103.0,0.2706598,0,benchpress_down
benchpress_down\956b4e76-d7f7-4260-a03e-2c69497ba693.jpg,1054.0,560.0,0.3889058,1076.0,574.0,0.51504886,1059.0,560.0,0.38270298,1068.0,646.0,0.35850704,1036.0,613.0,0.4010446,1017.0,735.0,0.5505605,838.0,614.0,0.44627526,1051.0,928.0,0.68097055,614.0,697.0,0.5896101,1144.0,728.0,0.538666,590.0,558.0,0.6914698,642.0,893.0,0.71069646,502.0,794.0,0.7850311,552.0,1226.0,0.63285136,119.0,976.0,0.8038843,695.0,1380.0,0.6432487,297.0,1257.0,0.20972331,0,benchpress_down
benchpress_down\Bobbie-Butters-spoto-bench-press.jpg,871.0,365.0,0.12126084,949.0,299.0,0.10882145,948.0,303.0,0.1184045,959.0,311.0,0.21253327,942.0,317.0,0.2509398,842.0,404.0,0.44051996,818.0,392.0,0.29717425,758.0,539.0,0.67570937,761.0,531.0,0.404088,789.0,312.0,0.4823424,788.0,311.0,0.34519592,478.0,390.0,0.6281171,474.0,368.0,0.68463135,156.0,558.0,0.87537754,122.0,511.0,0.5943171,271.0,777.0,0.65465873,267.0,746.0,0.7918015,0,benchpress_down
